traffic_id,date_time,city,area,vehicle_count,avg_speed_kmh,accident_count,congestion_level,road_condition,visibility_m
10130.0,2024-08-30T06:11Z,London,Camden,211,46.9,0,High,Wet,583
11317.0,2024-08-22 01:20,London,Hammersmith,182,46.1,0,High,Snowy,6210
9722.0,2099-00-00 99:99,London,Southwark,196,38.1,0,Medium,Damaged,N/A
10210.0,2024-01-26T09:03Z,London,Camden,208,48.9,0,High,Wet,6436
9860.0,2024-08-24T21:05Z,London,Hackney,218,46.1,0,High,Damaged,
10407.0,23/02/2024 02PM,London,Kensington,218,40.0,0,High,Dry,8097
10594.0,2024-11-02T06:18Z,London,Chelsea,211,59.8,1,Medium,Damaged,8934
13804.0,12/02/2024 01PM,London,Kensington,197,51.4,0,Low,Dry,5081
10058.0,2024-08-22 08:29,London,Kensington,198,68.0,0,Low,Damaged,8545
9554.0,2024-11-11 02:24,London,Southwark,192,48.0,0,High,Snowy,9750
12352.0,2024-04-19 20:15,London,Hackney,197,39.4,0,Medium,Dry,9273
12028.0,2024-06-19 17:41,London,Hammersmith,208,48.5,0,High,Snowy,7537
13130.0,2024-02-10 00:10,London,,225,42.1,0,Low,Dry,8722
9799.0,18/09/2024 10PM,London,Chelsea,185,41.4,0,Low,Damaged,8907
11844.0,2024-12-31T15:51Z,London,Greenwich,189,31.1,0,High,Wet,8573
9486.0,19/06/2024 08AM,London,Hammersmith,201,51.6,,High,Damaged,9025
13909.0,28/03/2024 07PM,London,Hackney,178,48.6,0,Medium,Damaged,3828
10294.0,2024-01-03T19:59Z,London,Camden,201,35.4,0,High,Dry,191
12863.0,,London,Camden,200,56.7,1,High,Snowy,7012
12635.0,29/04/2024 10AM,London,Greenwich,190,20.5,0,Low,Wet,2539
13733.0,2024-03-18 13:02,London,Southwark,196,48.5,0,Medium,Snowy,4694
13214.0,2024-07-02T03:45Z,London,Greenwich,203,38.0,0,High,Damaged,8588
9066.0,03/08/2024 08AM,London,Chelsea,194,19.8,1,Medium,Wet,6874
9765.0,2024-08-31T12:49Z,London,Islington,168,53.0,1,Medium,,7460
9466.0,2024-05-13 09:18,London,Camden,189,57.1,0,High,Damaged,1564
9839.0,15/01/2024 09PM,London,Chelsea,210,49.7,0,Low,Wet,2380
12865.0,2024-02-12 02:30,London,Southwark,189,57.4,1,High,Snowy,7954
9034.0,2024-03-07T11:17Z,London,Chelsea,N/A,23.5,0,Low,Dry,7101
12694.0,2024-08-11 08:03,London,Camden,195,41.8,1,High,Wet,1442
11471.0,2024-10-22T02:20Z,London,Islington,211,41.6,0,Medium,Wet,6622
12575.0,31/05/2024 11PM,London,Camden,200,37.3,0,High,Snowy,2243
9764.0,2024-02-07 18:55,London,Hackney,200,46.7,0,High,Wet,4844
13024.0,2024-06-09 02:33,London,Camden,185,50.0,1,Medium,Dry,4836
10731.0,16/11/2024 02AM,London,Hammersmith,190,64.7,0,Medium,Damaged,514
9280.0,30/03/2024 12PM,London,Hackney,210,51.4,0,Low,Dry,5704
10913.0,2024-10-09T03:47Z,London,Greenwich,213,43.7,0,Low,Damaged,8067
12293.0,13/11/2024 06PM,London,Hackney,225,61.0,0,High,Snowy,9661
11611.0,2024-07-02 06:16,London,Hackney,197,31.6,0,Medium,Damaged,1045
13369.0,2024-08-10T02:24Z,London,,203,45.0,0,Low,Wet,5552
9249.0,2024-05-13T03:49Z,London,Southwark,,57.0,0,High,Snowy,8537
9024.0,2024-02-08T17:06Z,London,Hammersmith,194,49.3,1,High,Wet,6757
13726.0,2024-09-13 15:31,London,Hackney,221,46.4,0,Low,Wet,8191
12248.0,2024-03-21 17:56,London,Islington,189,46.6,1,Low,Wet,5836
10807.0,2024-08-22T01:53Z,London,Kensington,227,35.3,,Medium,Wet,4787
10159.0,2024-12-04T12:31Z,London,Southwark,204,44.6,0,Low,Wet,6058
11270.0,07/01/2024 08AM,London,Hammersmith,188,46.4,1,Low,Wet,5898
12650.0,2024-05-08T00:55Z,London,Chelsea,198,48.4,0,Medium,Snowy,8240
12210.0,2024-08-30T20:38Z,London,Hackney,189,32.1,0,,Snowy,7436
11132.0,04/12/2024 06AM,London,Camden,191,52.2,0,High,Snowy,6272
11448.0,2024-10-02 18:20,London,Greenwich,201,35.4,0,High,Wet,3509
10488.0,26/03/2024 02PM,London,Camden,198,36.7,0,Medium,Wet,5331
13184.0,03/04/2024 02AM,London,Greenwich,220,65.3,0,High,Wet,2681
13782.0,2024-10-30 07:56,London,Islington,195,37.5,0,Low,Snowy,4698
13232.0,04/01/2024 07AM,London,Islington,190,45.7,0,Medium,Damaged,9938
10035.0,2024-08-13 15:38,London,Islington,209,28.9,0,Low,Snowy,2140
11828.0,2024-02-31 12:00,London,Southwark,205,60.9,1,Low,Wet,6803
9712.0,2024-08-21T00:53Z,London,Hammersmith,183,57.7,0,Low,Damaged,7378
9107.0,06/09/2024 11AM,London,Islington,195,45.9,1,Low,Snowy,2981
12787.0,2024-10-19T04:03Z,London,Chelsea,220,38.1,0,High,Damaged,6131
9531.0,06/02/2024 06PM,London,Chelsea,187,33.4,0,High,Wet,3522
13295.0,2024-09-30T11:09Z,London,Chelsea,195,41.6,0,Medium,Snowy,6778
11276.0,2024-02-09T18:09Z,London,Kensington,203,57.5,1,Medium,Wet,1748
9682.0,,London,Southwark,,34.0,0,High,Damaged,3867
11339.0,17/07/2024 05AM,London,Chelsea,,36.4,0,Medium,Damaged,3351
11766.0,2024-08-27T19:51Z,London,Hackney,189,65.9,1,High,Dry,9033
11022.0,12/11/2024 07PM,London,Greenwich,189,38.2,0,Low,Dry,8446
10889.0,01/09/2024 08PM,London,Greenwich,194,28.7,0,Low,Wet,1389
9469.0,2024-09-07T06:30Z,London,Islington,186,28.2,0,Medium,Damaged,4217
9430.0,2024-03-11T15:58Z,London,Islington,212,50.9,0,Low,Damaged,8885
9562.0,25/12/2024 12AM,London,Chelsea,169,53.5,0,Medium,Damaged,818
9897.0,30/07/2024 11PM,London,Chelsea,218,40.0,1,Medium,Dry,9133
10527.0,2024-08-08 13:35,London,Islington,203,46.5,0,Medium,Damaged,5239
12072.0,2024-11-14 21:55,London,Kensington,198,51.2,0, ,Dry,4106
11165.0,2024-07-20 19:49,London,Hackney,225,43.2,0,High,Snowy,3370
9080.0,06/05/2024 05PM,London,Hammersmith,200,51.7,0,Medium,Snowy,6892
9735.0,2024-04-16T17:45Z,London,Camden,199,31.4,0,High,Dry,2582
10621.0,13/06/2024 10PM,London,Islington,198,38.7,1,Medium,Damaged,2096
10589.0,2024-03-07 23:17,London,Hackney,207,22.7,0,High,Dry,4489
11438.0,2024-12-07T20:30Z,London,Camden,172,27.1,0,Low,Wet,9338
11759.0,11/05/2024 01AM,London,Hammersmith,204,41.2,0,High,Damaged,7425
11246.0,17/02/2024 02AM,London,Islington,202,53.7,0,Medium,Wet,3332
12283.0,2024-04-12 18:10,London,Greenwich,204,27.8,0,High,Damaged,4175
9997.0,24/03/2024 09PM,London,Southwark,211,34.2,0,High,Wet,2477
9200.0,2024-02-08 16:53,London,Southwark,202,46.9,0,Low,Snowy,6719
9692.0,2024-05-31 12:31,London,Chelsea,199,43.5,0,High,Dry,5769
10095.0,2024-01-22T09:43Z,London,Hackney,214,35.3,0,Low,Damaged,3158
13614.0,26/05/2024 06AM,London,Greenwich,198,-20.0,0,High,Dry,2874
12725.0,02/03/2024 05AM,London,Greenwich,202,42.6,0,Medium,Damaged,9299
10102.0,2024-10-06 16:44,London,Camden,205,41.8,0,Low,Snowy,9749
13735.0,2024-10-25T16:05Z,London,Hammersmith,206,59.9,0,Medium,Damaged,2871
11134.0,2024-07-17 00:08,London,Islington,190,50.9,0,High,Dry,2111
9228.0,23/08/2024 10AM,London,Greenwich,198,43.4,50,Medium,Wet,2718
12306.0,2024-07-20 20:55,London,Islington,198,41.1,0,Low,Dry,9486
10719.0,2024-08-21T07:15Z,London,Hackney,192,50.0,0,High,Dry,8815
